ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
4382  -1994.935791  57.882427  -18375.0  156.474976 | -1994.935791  57.882427  -18375.0  136.553787 | 146.5143815
4383  -1994.935791  57.882427  -18625.0  156.568222 | -1994.935791  57.882427  -18625.0  136.838242 | 146.703232
4384  -1994.935791  57.882427  -18875.0  156.38414 | -1994.935791  57.882427  -18875.0  136.899017 | 146.64157849999998
4385  -1994.935791  57.882427  -19125.0  155.970657 | -1994.935791  57.882427  -19125.0  136.752167 | 146.36141199999997
4386  -1994.935791  57.882427  -19375.0  155.339218 | -1994.935791  57.882427  -19375.0  136.422791 | 145.8810045
4387  -1994.935791  57.882423  -19625.0  154.516312 | -1994.935791  57.882423  -19625.0  135.919693 | 145.2180025
4388  -1994.935791  57.88242  -19875.0  153.503281 | -1994.935791  57.88242  -19875.0  135.250244 | 144.37676249999998
4389  -1994.935791  57.88242  -20125.0  152.305298 | -1994.935791  57.88242  -20125.0  134.413696 | 143.35949699999998
4390  -1994.935791  57.88242  -20375.0  150.911957 | -1994.935791  57.88242  -20375.0  133.398895 | 142.155426
4391  -1994.935791  57.88242  -20625.0  149.306519 | -1994.935791  57.88242  -20625.0  132.194473 | 140.750496
4392  -1994.935791  57.88242  -20875.0  147.466019 | -1994.935791  57.88242  -20875.0  130.769531 | 139.117775
4393  -1994.935791  57.88242  -21125.0  145.350449 | -1994.935791  57.88242  -21125.0  129.101807 | 137.22612800000002
4394  -1994.935791  57.88242  -21375.0  142.924484 | -1994.935791  57.88242  -21375.0  127.139259 | 135.0318715
4395  -1994.935791  57.88242  -21625.0  140.123047 | -1994.935791  57.88242  -21625.0  124.849663 | 132.486355
4396  -1994.935791  57.88242  -21875.0  136.900284 | -1994.935791  57.88242  -21875.0  122.158768 | 129.529526
4397  -1994.935791  57.88242  -22125.0  133.16481 | -1994.935791  57.88242  -22125.0  119.027542 | 126.09617599999999
4398  -1994.935791  57.88242  -22375.0  128.865433 | -1994.935791  57.88242  -22375.0  115.360252 | 122.1128425
4399  -1994.935791  57.88242  -22625.0  123.885765 | -1994.935791  57.88242  -22625.0  111.118721 | 117.50224299999999
4400  -1994.935791  57.88242  -22875.0  118.18055 | -1994.935791  57.88242  -22875.0  106.191124 | 112.18583699999999
4401  -1994.935791  57.88242  -23125.0  111.616699 | -1994.935791  57.88242  -23125.0  100.557037 | 106.086868
4402  -1994.935791  57.88242  -23375.0  104.179138 | -1994.935791  57.88242  -23375.0  94.106926 | 99.143032
4403  -1994.935791  57.88242  -23625.0  95.749435 | -1994.935791  57.88242  -23625.0  86.879738 | 91.3145865
4404  -1994.935791  57.88242  -23875.0  86.412346 | -1994.935791  57.88242  -23875.0  78.833954 | 82.62315000000001
4405  -1994.935791  57.88242  -24125.0  76.190025 | -1994.935791  57.88242  -24125.0  70.202271 | 73.196148
4406  -1994.935791  57.88242  -24375.0  65.548203 | -1994.935791  57.88242  -24375.0  61.269192 | 63.4086975
4407  -1994.935791  57.88242  -24625.0  55.173424 | -1994.935791  57.88242  -24625.0  52.964352 | 54.068888
4408  -1994.935791  57.88242  -24875.0  47.004574 | -1994.935791  57.88242  -24875.0  46.770874 | 46.887724
4409  -1994.935791  57.88242  -25125.0  43.406277 | -1994.935791  57.88242  -25125.0  44.444099 | 43.925188000000006
4410  -1994.935791  57.88242  -25375.0  45.243149 | -1994.935791  57.88242  -25375.0  48.847725 | 47.045437
4411  -1994.935791  57.88242  -25625.0  55.577267 | -1994.935791  57.88242  -25625.0  53.420692 | 54.498979500000004
4412  -1994.935791  57.882423  -25875.0  51.05191 | -1994.935791  57.882423  -25875.0  56.752949 | 53.9024295
9925  -1994.935791  57.882427  -124.999992  67.99781 | -1994.935791  57.882427  -124.999992  78.98159 | 73.4897
9926  -1994.935791  57.882427  -375.0  72.883629 | -1994.935791  57.882427  -375.0  73.401176 | 73.1424025
9927  -1994.935791  57.882427  -625.0  57.867603 | -1994.935791  57.882427  -625.0  66.585823 | 62.226713000000004
9928  -1994.935791  57.882427  -874.999939  50.09111 | -1994.935791  57.882427  -874.999939  56.431759 | 53.2614345
9929  -1994.935791  57.882427  -1125.0  46.717781 | -1994.935791  57.882427  -1125.0  53.359592 | 50.0386865
9930  -1994.935791  57.882427  -1375.000122  50.39904 | -1994.935791  57.882427  -1375.000122  54.943626 | 52.671333000000004
9931  -1994.935791  57.882427  -1625.0  58.806938 | -1994.935791  57.882427  -1625.0  60.726326 | 59.766632
9932  -1994.935791  57.882427  -1874.999756  69.198349 | -1994.935791  57.882427  -1874.999756  68.488052 | 68.8432005
9933  -1994.935791  57.882427  -2125.0  79.852562 | -1994.935791  57.882427  -2125.0  76.862572 | 78.357567
9934  -1994.935791  57.882427  -2375.0  89.965073 | -1994.935791  57.882427  -2375.0  85.046524 | 87.5057985
9935  -1994.935791  57.882427  -2625.0  99.250908 | -1994.935791  57.882427  -2625.0  92.646004 | 95.948456
9936  -1994.935791  57.882427  -2874.999756  107.551964 | -1994.935791  57.882427  -2874.999756  99.539665 | 103.5458145
9937  -1994.935791  57.882427  -3125.0  114.929665 | -1994.935791  57.882427  -3125.0  105.642998 | 110.2863315
9938  -1994.935791  57.882427  -3375.000244  121.378479 | -1994.935791  57.882427  -3375.000244  111.019531 | 116.199005
9939  -1994.935791  57.882427  -3625.0  127.028114 | -1994.935791  57.882427  -3625.0  115.675789 | 121.3519515
9940  -1994.935791  57.882427  -3875.0  131.918488 | -1994.935791  57.882427  -3875.0  119.716805 | 125.8176465
9941  -1994.935791  57.882427  -4125.0  136.178284 | -1994.935791  57.882427  -4125.0  123.177559 | 129.6779215
9942  -1994.935791  57.882427  -4375.0  139.860352 | -1994.935791  57.882427  -4375.0  126.161072 | 133.010712
9943  -1994.935791  57.882427  -4625.0  143.072617 | -1994.935791  57.882427  -4625.0  128.708405 | 135.890511
9944  -1994.935791  57.882427  -4875.0  145.866974 | -1994.935791  57.882427  -4875.0  130.906036 | 138.386505
9945  -1994.935791  57.882427  -5125.0  148.326462 | -1994.935791  57.882427  -5125.0  132.792038 | 140.55925
9946  -1994.935791  57.882427  -5375.0  150.494324 | -1994.935791  57.882427  -5375.0  134.431992 | 142.46315800000002
9947  -1994.935791  57.882427  -5625.0  152.430496 | -1994.935791  57.882427  -5625.0  135.856277 | 144.14338650000002
9948  -1994.935791  57.882427  -5875.000488  154.166718 | -1994.935791  57.882427  -5875.000488  137.111404 | 145.639061
9949  -1994.935791  57.882427  -6125.000488  155.741135 | -1994.935791  57.882427  -6125.000488  138.217773 | 146.979454
9950  -1994.935791  57.882427  -6375.0  157.17482 | -1994.935791  57.882427  -6375.0  139.204315 | 148.1895675
9951  -1994.935791  57.882427  -6625.0  158.487015 | -1994.935791  57.882427  -6625.0  140.082184 | 149.2845995
9952  -1994.935791  57.882423  -6875.0  159.686981 | -1994.935791  57.882423  -6875.0  140.863831 | 150.275406
9953  -1994.935791  57.88242  -7124.999512  160.776245 | -1994.935791  57.88242  -7124.999512  141.551804 | 151.16402449999998
9954  -1994.935791  57.88242  -7374.999023  161.755371 | -1994.935791  57.88242  -7374.999023  142.143677 | 151.949524
9955  -1994.935791  57.88242  -7625.0  162.607681 | -1994.935791  57.88242  -7625.0  142.633789 | 152.62073500000002
9956  -1994.935791  57.88242  -7875.0  163.325333 | -1994.935791  57.88242  -7875.0  143.005493 | 153.165413
9957  -1994.935791  57.88242  -8125.0  163.873871 | -1994.935791  57.88242  -8125.0  143.246475 | 153.56017300000002
9958  -1994.935791  57.88242  -8375.0  164.239441 | -1994.935791  57.88242  -8375.0  143.325974 | 153.78270750000001
9959  -1994.935791  57.88242  -8625.0  164.368195 | -1994.935791  57.88242  -8625.0  143.227158 | 153.7976765
9960  -1994.935791  57.88242  -8875.0  164.242722 | -1994.935791  57.88242  -8875.0  142.905975 | 153.57434849999999
9961  -1994.935791  57.88242  -9125.0  163.791046 | -1994.935791  57.88242  -9125.0  142.346237 | 153.0686415
9962  -1994.935791  57.88242  -9375.0  162.998718 | -1994.935791  57.88242  -9375.0  141.492538 | 152.245628
9963  -1994.935791  57.88242  -9625.0  161.776352 | -1994.935791  57.88242  -9625.0  140.339874 | 151.058113
9964  -1994.935791  57.88242  -9875.0  160.125046 | -1994.935791  57.88242  -9875.0  138.826431 | 149.4757385
9965  -1994.935791  57.88242  -10124.99902  157.945862 | -1994.935791  57.88242  -10124.99902  136.979141 | 147.4625015
9966  -1994.935791  57.88242  -10374.99902  155.279404 | -1994.935791  57.88242  -10374.99902  134.742157 | 145.0107805
9967  -1994.935791  57.88242  -10625.0  152.033386 | -1994.935791  57.88242  -10625.0  132.212463 | 142.1229245
9968  -1994.935791  57.88242  -10875.0  148.335266 | -1994.935791  57.88242  -10875.0  129.35997 | 138.847618
9969  -1994.935791  57.88242  -11125.0  144.133331 | -1994.935791  57.88242  -11125.0  126.427391 | 135.280361
